person_slug,person_name,rank,title,year,review_url,nyt_id,imdb_id
naomi-ackie,Naomi Ackie,1,Blue Jasmine,2013,https://www.nytimes.com/2013/07/26/movies/cate-blanchett-stars-in-woody-allens-blue-jasmine.html,t55646ido8,tt2334873
naomi-ackie,Naomi Ackie,2,Django Unchained,2012,https://www.nytimes.com/2012/12/25/movies/quentin-tarantinos-django-unchained-stars-jamie-foxx.html,26tx866trt,tt1853728
naomi-ackie,Naomi Ackie,3,Eternal Sunshine of the Spotless Mind,2004,https://www.nytimes.com/2004/03/19/movies/film-review-washing-that-girl-out-of-his-head.html,hn59fguprk,tt0338013
naomi-ackie,Naomi Ackie,4,Her,2013,https://www.nytimes.com/2013/12/18/movies/her-directed-by-spike-jonze.html,m33vh7ps8w,tt1798709
naomi-ackie,Naomi Ackie,5,Moonlight,2016,https://www.nytimes.com/2016/10/21/movies/moonlight-review.html,cihf2ofyv8,tt4975722
naomi-ackie,Naomi Ackie,6,Moonrise Kingdom,2012,https://www.nytimes.com/2012/05/25/movies/wes-andersons-moonrise-kingdom-with-bruce-willis.html,z77mwmvoiu,tt1748122
naomi-ackie,Naomi Ackie,7,Parasite,2019,https://www.nytimes.com/2019/10/10/movies/parasite-review.html,6ypgkf80fn,tt6751668
naomi-ackie,Naomi Ackie,8,Talk to Me,2023,https://www.nytimes.com/2023/07/27/movies/talk-to-me-review.html,t8dtwnoagl,tt10638522
naomi-ackie,Naomi Ackie,9,The Dark Knight,2008,https://www.nytimes.com/2008/07/18/movies/18knig.html,ovjvzklwqa,tt0468569
naomi-ackie,Naomi Ackie,10,Triangle of Sadness,2022,https://www.nytimes.com/2022/10/06/movies/triangle-of-sadness-review.html,mi6ignhn4q,tt7322224
uzo-aduba,Uzo Aduba,1,Anatomy of a Fall,2023,https://www.nytimes.com/2023/10/12/movies/anatomy-of-a-fall-review.html,xe5vu0xdpz,tt17009710
uzo-aduba,Uzo Aduba,2,Black Panther,2018,https://www.nytimes.com/2018/02/06/movies/black-panther-review-movie.html,htxkw0dioh,tt1825683
uzo-aduba,Uzo Aduba,3,Dreamgirls,2006,https://www.nytimes.com/2006/12/15/movies/15drea.html,1e4rai5huv,tt0443489
uzo-aduba,Uzo Aduba,4,Gosford Park,2001,https://www.nytimes.com/2001/12/26/movies/film-review-full-of-baronial-splendor-and-hatefulness.html,hk41fwgccy,tt0280707
uzo-aduba,Uzo Aduba,5,Inception,2010,https://www.nytimes.com/2010/07/16/movies/16inception.html,zcaoui2n0j,tt1375666
uzo-aduba,Uzo Aduba,6,Memento,2001,https://www.nytimes.com/2001/03/16/movies/film-review-backward-reel-the-grisly-memories.html,ugwq1ddjtc,tt0209144
uzo-aduba,Uzo Aduba,7,Moonlight,2016,https://www.nytimes.com/2016/10/21/movies/moonlight-review.html,cihf2ofyv8,tt4975722
uzo-aduba,Uzo Aduba,8,Spotlight,2015,https://www.nytimes.com/2015/11/06/movies/review-in-spotlight-the-boston-globe-digs-up-the-catholic-churchs-dirt.html,nguq4rtxoc,tt1895587
uzo-aduba,Uzo Aduba,9,The Departed,2006,https://www.nytimes.com/2006/10/06/movies/06depa.html,xbmxgm1m0f,tt0407887
uzo-aduba,Uzo Aduba,10,Traffic,2000,https://www.nytimes.com/2000/12/27/movies/film-review-teeming-mural-of-a-war-fought-and-lost.html,vla3cn28zw,tt0181865
casey-affleck,Casey Affleck,1,Apocalypto,2006,https://www.nytimes.com/2006/12/08/movies/08apoc.html,pwy9ti2oy9,tt0472043
casey-affleck,Casey Affleck,2,City of God,2003,https://www.nytimes.com/2003/01/17/movies/film-review-boys-soldiering-in-an-army-of-crime.html,gz7w8418tp,tt0317248
casey-affleck,Casey Affleck,3,Inside Llewyn Davis,2013,https://www.nytimes.com/2013/12/06/movies/inside-llewyn-davis-directed-by-joel-and-ethan-coen.html,ntl6oc3afn,tt2042568
casey-affleck,Casey Affleck,4,Moneyball,2011,https://www.nytimes.com/2011/09/23/movies/brad-pitt-in-moneyball-by-bennett-miller.html,80twlluo27,tt1210166
casey-affleck,Casey Affleck,5,No Country for Old Men,2007,https://www.nytimes.com/2007/11/09/movies/09coun.html,ha9llvm7f1,tt0477348
casey-affleck,Casey Affleck,6,Ratatouille,2007,https://www.nytimes.com/2007/06/29/movies/29rata.html,0kg79o37uw,tt0382932
casey-affleck,Casey Affleck,7,Son of Saul,2015,https://www.nytimes.com/2015/12/18/movies/review-son-of-saul-revisits-life-and-death-in-auschwitz.html,4qus8wmnox,tt3808342
casey-affleck,Casey Affleck,8,The Assassination of Jesse James by the Coward Robert Ford,2007,https://www.nytimes.com/2007/09/21/movies/21assa.html,s42cv0pa1a,tt0443680
casey-affleck,Casey Affleck,9,The Lord of the Rings: The Return of the King,2003,https://www.nytimes.com/2003/12/16/movies/film-review-triumph-tinged-with-regret-in-middle-earth.html,w4cs3cq7cp,tt0167260
casey-affleck,Casey Affleck,10,The Social Network,2010,https://www.nytimes.com/2010/09/24/movies/24nyffsocial.html,l4ug56nz0f,tt1285016
pedro-almodovar,Pedro Almodóvar,1,Amour,2012,https://www.nytimes.com/2012/12/19/movies/michael-hanekes-amour-with-jean-louis-trintignant.html,cw0ik5bfl7,tt1602620
pedro-almodovar,Pedro Almodóvar,2,Call Me by Your Name,2017,https://www.nytimes.com/2017/11/22/movies/call-me-by-your-name-review-armie-hammer.html,fczzolmsc8,tt5726616
pedro-almodovar,Pedro Almodóvar,3,"Crouching Tiger, Hidden Dragon",2000,https://www.nytimes.com/2000/10/09/movies/film-festival-review-action-fans-be-prepared-for-heart-and-feminism.html,061nzpgfe9,tt0190332
pedro-almodovar,Pedro Almodóvar,4,Dogtooth,2009,https://www.nytimes.com/2010/06/25/movies/25dog.html,v1rlnsr58m,tt1379182
pedro-almodovar,Pedro Almodóvar,5,Ida,2014,https://www.nytimes.com/2014/05/02/movies/ida-about-an-excavation-of-truth-in-postwar-poland.html,bq8csxk331,tt2718492
pedro-almodovar,Pedro Almodóvar,6,La ciénaga,2001,https://www.nytimes.com/2001/10/01/movies/film-festival-reviews-summertime-and-the-living-is-approaching-unbearable.html,f01571ae70,tt0240419
pedro-almodovar,Pedro Almodóvar,7,Phantom Thread,2017,https://www.nytimes.com/2017/12/24/movies/phantom-thread-review-daniel-day-lewis.html,8sbk4yhene,tt5776858
pedro-almodovar,Pedro Almodóvar,8,Roma,2018,https://www.nytimes.com/2018/11/20/movies/roma-review.html,sytbcvl6i1,tt6155172
pedro-almodovar,Pedro Almodóvar,9,Ten,2002,https://www.nytimes.com/2002/09/28/movies/new-york-film-festivals-reviews-in-tehran-a-driver-with-a-lot-to-say.html,40wjtqj7pt,tt0301978
pedro-almodovar,Pedro Almodóvar,10,Toni Erdmann,2016,https://www.nytimes.com/2016/12/22/movies/toni-erdmann-review.html,r2dbf4z2d6,tt4048272
pamela-anderson,Pamela Anderson,1,Amélie,2001,https://www.nytimes.com/2001/11/02/movies/film-review-little-miss-sunshine-as-urban-sprite.html,nwhul8q9po,tt0211915
pamela-anderson,Pamela Anderson,2,Blue Valentine,2010,https://www.nytimes.com/2010/12/29/movies/29blue.html,pu6m9vdo1y,tt1120985
pamela-anderson,Pamela Anderson,3,Invisible Life,2019,https://www.nytimes.com/2019/12/19/movies/invisible-life-review.html,5cfd9fa43f,tt6390668
pamela-anderson,Pamela Anderson,4,Lost in Translation,2003,https://www.nytimes.com/2003/09/12/movies/film-review-an-american-in-japan-making-a-connection.html,wpqdt02atj,tt0335266
pamela-anderson,Pamela Anderson,5,Requiem for a Dream,2000,https://www.nytimes.com/2000/10/06/movies/film-review-addicted-to-drugs-and-drug-rituals.html,6wu9mzund7,tt0180093
pamela-anderson,Pamela Anderson,6,The Grand Budapest Hotel,2014,https://www.nytimes.com/2014/03/07/movies/wes-andersons-grand-budapest-hotel-is-a-complex-caper.html,3lzvrdy9io,tt2278388
pamela-anderson,Pamela Anderson,7,The Lobster,2016,https://www.nytimes.com/2016/05/13/movies/the-lobster-review-colin-farrell-rachel-weisz.html,sjv6fq66zv,tt3464902
pamela-anderson,Pamela Anderson,8,The Party,2017,https://www.nytimes.com/2018/02/15/movies/the-party-review-timothy-spall-kristin-scott-thomas.html,73a0bd5de8,tt5814592
pamela-anderson,Pamela Anderson,9,Volver,2006,https://www.nytimes.com/2006/11/03/movies/03volv.html,daq0t15a4g,tt0441909
pamela-anderson,Pamela Anderson,10,White God,2015,https://www.nytimes.com/2015/03/27/movies/review-in-white-god-man-bites-dog-dog-bites-back.html,z7hskst4em,tt2844798
sean-baker,Sean Baker,1,"4 Months, 3 Weeks and 2 Days",2007,https://www.nytimes.com/2008/01/25/movies/25mont.html,v4eenicmdd,tt1032846
