slug,name,bio,categories,movie_count,top_choice,notes
naomi-ackie,Naomi Ackie,"The British actress Naomi Ackie has played lead roles in Bong Joon Ho’s “Mickey 17,” the Whitney Houston biopic “I Wanna Dance With Somebody” and the Steve McQueen anthology “Small Axe,” among other films.",actor,10,,
uzo-aduba,Uzo Aduba,"After her Emmy-winning breakout in “Orange Is the New Black,” Uzo Aduba has appeared on the shows “In Treatment” and “Mrs. America.” She is currently starring in the series “The Residence.”",actor,10,,
casey-affleck,Casey Affleck,"Casey Affleck has starred in “Gone Baby Gone” and the “Ocean’s Eleven” series, among other movies. He won the best actor Oscar for his performance in “Manchester by the Sea.”",actor,10,,
pedro-almodovar,Pedro Almodóvar,"The Spanish filmmaker Pedro Almodóvar’s movies include “Women on the Verge of a Nervous Breakdown,” “The Room Next Door” and “Talk to Her,” for which he won an Oscar for best screenplay.",director,10,TRUE,
pamela-anderson,Pamela Anderson,The actress Pamela Anderson most recently earned acclaim for her lead performance in the drama “The Last Showgirl.”,actor,10,TRUE,
sean-baker,Sean Baker,"Sean Baker won four Oscars, including best picture, for “Anora” this year. His credits include “The Florida Project” and “Tangerine.” ",director,10,,
elizabeth-banks,Elizabeth Banks,"Elizabeth Banks is a producer, director and actress who has starred in the “Hunger Games” franchise. She also directed the comedies “Cocaine Bear” and “Pitch Perfect 2,"" among others.",actor,10,TRUE,
michael-barker,Michael Barker,"As co-president of Sony Pictures Classics, Michael Barker has helped shepherd the release of “Crouching Tiger, Hidden Dragon,” “Whiplash” and “Call Me by Your Name,” among other films. The distributor’s movies have earned more than 40 Oscars.",exec,10,,Leah -- see add
judy-becker,Judy Becker,"Judy Becker is a production designer whose credits include “Brokeback Mountain,” “American Hustle” and “The Brutalist,” for which she received her second Oscar nomination.",other_creators,10,,production designer
kate-berlant,Kate Berlant,"A comedian, actress and writer, Kate Berlant has appeared in “Once Upon a Time … in Hollywood” and “Don’t Worry Darling.”",comedian,10,,
tom-bernard,Tom Bernard,"As co-president of Sony Pictures Classics, Tom Bernard has helped shepherd the release of “Crouching Tiger, Hidden Dragon,” “Whiplash” and “Call Me by Your Name,” among other films. The distributor’s movies have earned more than 40 Oscars.",exec,10,,
mike-birbiglia,Mike Birbiglia,"Mike Birbiglia is a comedian, podcaster and actor whose credits include “Orange Is the New Black” and “Sleepwalk With Me.” His most recent special, “The Good Life,” is currently streaming on Netflix. ",comedian,10,TRUE,
jason-blum,Jason Blum,"Jason Blum is the founder and chief executive of Blumhouse Productions, whose releases include “Get Out” and “Whiplash” as well as horror franchises like “The Purge” and “Insidious.”",exec,10,TRUE,
